Date,Dollar_Index,Gold_Price,Interest_Rate,US_10_Year,VIX_Value
2015-01-09,91.94000244140624,1211.25,0.12,1.95,17.55
2015-01-10,91.94000244140624,1211.25,0.12,1.95,17.55
2015-01-11,91.94000244140624,1211.25,0.12,1.95,17.55
2015-01-12,91.9800033569336,1222.0,0.12,1.909,19.6
2015-01-13,92.30999755859376,1239.0,0.12,1.905,20.56
2015-01-14,92.16000366210938,1228.75,0.12,1.855,21.48
2015-01-15,92.3499984741211,1235.25,0.12,1.728,22.39
2015-01-16,92.5199966430664,1258.25,0.13,1.831,20.95
2015-01-17,92.5199966430664,1258.25,0.13,1.831,20.95
2015-01-18,92.5199966430664,1258.25,0.13,1.831,20.95
2015-01-19,92.5199966430664,1275.5,0.13,1.8,20.95
2015-01-20,93.0500030517578,1292.25,0.12,1.791,19.89
2015-01-21,92.9000015258789,1298.0,0.12,1.875,18.85
2015-01-22,94.23999786376952,1287.0,0.12,1.872,16.4
2015-01-23,95.0,1293.5,0.12,1.789,16.66
2015-01-24,95.0,1293.5,0.12,1.789,16.66
2015-01-25,95.0,1293.5,0.12,1.789,16.66
2015-01-26,94.8000030517578,1282.75,0.12,1.828,15.52
2015-01-27,94.0199966430664,1279.0,0.11,1.828,17.22
2015-01-28,94.47000122070312,1287.0,0.12,1.719,20.44
2015-01-29,94.77999877929688,1275.5,0.11,1.756,18.76
2015-01-30,94.8000030517578,1263.5,0.06,1.639,20.97
2015-01-31,94.8000030517578,1263.5,0.06,1.639,20.97
2015-02-01,94.8000030517578,1263.5,0.06,1.639,20.97
2015-02-02,94.5,1274.25,0.12,1.674,19.43
2015-02-03,93.5999984741211,1281.0,0.12,1.798,17.33
2015-02-04,93.98999786376952,1269.25,0.11,1.747,18.33
2015-02-05,94.6999969482422,1263.75,0.12,1.817,16.85
2015-02-06,94.6999969482422,1264.0,0.11,1.958,17.29
2015-02-07,94.6999969482422,1264.0,0.11,1.958,17.29
2015-02-08,94.6999969482422,1264.0,0.11,1.958,17.29
2015-02-09,94.4499969482422,1242.25,0.12,1.978,18.55
2015-02-10,94.76000213623048,1237.5,0.12,2.004,17.23
2015-02-11,94.98999786376952,1235.5,0.12,2.021,16.96
2015-02-12,94.08999633789062,1225.25,0.12,1.988,15.34
2015-02-13,94.1999969482422,1225.75,0.12,2.047,14.69
2015-02-14,94.1999969482422,1225.75,0.12,2.047,14.69
2015-02-15,94.1999969482422,1225.75,0.12,2.047,14.69
2015-02-16,94.1999969482422,1233.5,0.12,2.019,14.69
2015-02-17,94.05999755859376,1221.75,0.12,2.145,15.8
2015-02-18,94.1999969482422,1206.5,0.12,2.085,15.45
2015-02-19,94.4000015258789,1217.75,0.12,2.122,15.29
2015-02-20,94.25,1203.5,0.12,2.115,14.3
2015-02-21,94.25,1203.5,0.12,2.115,14.3
2015-02-22,94.25,1203.5,0.12,2.115,14.3
2015-02-23,94.56999969482422,1193.5,0.11,2.061,14.56
2015-02-24,94.48999786376952,1195.5,0.11,1.972,13.69
2015-02-25,94.20999908447266,1206.5,0.11,1.972,13.84
2015-02-26,95.29000091552734,1220.0,0.11,2.031,13.91
2015-02-27,95.25,1205.0,0.06,1.996,13.34
2015-02-28,95.25,1205.0,0.06,1.996,13.34
2015-03-01,95.25,1205.0,0.06,1.996,13.34
2015-03-02,95.45999908447266,1216.75,0.12,2.089,13.04
2015-03-03,95.37999725341795,1207.75,0.12,2.122,13.86
2015-03-04,95.97000122070312,1204.25,0.11,2.119,14.23
2015-03-05,96.37999725341795,1199.75,0.11,2.117,14.04
2015-03-06,97.62000274658205,1196.5,0.12,2.247,15.2
2015-03-07,97.62000274658205,1196.5,0.12,2.247,15.2
2015-03-08,97.62000274658205,1196.5,0.12,2.247,15.2
2015-03-09,97.58999633789062,1173.75,0.12,2.192,15.06
2015-03-10,98.62000274658205,1161.0,0.12,2.121,16.69
2015-03-11,99.8000030517578,1158.75,0.11,2.109,16.87
2015-03-12,99.1500015258789,1161.25,0.11,2.11,15.42
2015-03-13,100.33000183105467,1156.5,0.11,2.118,16.0
2015-03-14,100.33000183105467,1156.5,0.11,2.118,16.0
2015-03-15,100.33000183105467,1156.5,0.11,2.118,16.0
2015-03-16,99.5999984741211,1157.0,0.12,2.074,15.61
2015-03-17,99.58999633789062,1154.75,0.12,2.052,15.66
2015-03-18,98.5500030517578,1149.0,0.11,1.918,13.97
2015-03-19,99.0999984741211,1164.0,0.12,1.97,14.07
2015-03-20,97.91000366210938,1171.75,0.12,1.932,13.02
2015-03-21,97.91000366210938,1171.75,0.12,1.932,13.02
2015-03-22,97.91000366210938,1171.75,0.12,1.932,13.02
2015-03-23,97.02999877929688,1181.4,0.12,1.909,13.41
2015-03-24,97.19000244140624,1193.25,0.11,1.873,13.62
2015-03-25,96.9800033569336,1192.55,0.12,1.927,15.44
2015-03-26,97.44000244140624,1209.4,0.11,1.996,15.8
2015-03-27,97.29000091552734,1198.0,0.12,1.96,15.07
2015-03-28,97.29000091552734,1198.0,0.12,1.96,15.07
2015-03-29,97.29000091552734,1198.0,0.12,1.96,15.07
2015-03-30,97.9800033569336,1187.4,0.12,1.953,14.51
2015-03-31,98.36000061035156,1179.25,0.06,1.927,15.29
2015-04-01,98.19000244140624,1181.25,0.12,1.859,15.11
2015-04-02,97.44000244140624,1201.5,0.12,1.913,14.67
2015-04-03,97.44000244140624,1201.5,0.12,1.842,14.67
2015-04-04,97.44000244140624,1201.5,0.12,1.842,14.67
2015-04-05,97.44000244140624,1201.5,0.12,1.842,14.67
2015-04-06,97.11000061035156,1201.5,0.13,1.899,14.74
2015-04-07,97.83000183105467,1208.5,0.12,1.887,14.78
2015-04-08,98.06999969482422,1211.1,0.12,1.906,13.98
2015-04-09,99.16000366210938,1196.0,0.12,1.963,13.09
2015-04-10,99.38999938964844,1201.9,0.12,1.949,12.58
2015-04-11,99.38999938964844,1201.9,0.12,1.949,12.58
2015-04-12,99.38999938964844,1201.9,0.12,1.949,12.58
2015-04-13,99.48999786376952,1197.85,0.13,1.93,13.94
2015-04-14,98.76000213623048,1191.45,0.13,1.9,13.67
2015-04-15,98.33000183105467,1189.85,0.13,1.89,12.84
2015-04-16,97.41999816894533,1204.6,0.13,1.895,12.6
2015-04-17,97.5199966430664,1204.55,0.13,1.865,13.89
2015-04-18,97.5199966430664,1204.55,0.13,1.865,13.89
2015-04-19,97.5199966430664,1204.55,0.13,1.865,13.89
2015-04-20,97.94000244140624,1203.25,0.13,1.886,13.3
2015-04-21,97.9800033569336,1197.7,0.13,1.911,13.25
2015-04-22,98.0199966430664,1202.4,0.13,1.982,12.71
2015-04-23,97.27999877929688,1187.75,0.13,1.954,12.48
