Date,BTC_Price,Dollar_Index,Gold_Price,Interest_Rate,US_10_Year,VIX_Value
2015-01-09,290.4079895019531,91.94000244140624,1211.25,0.12,1.95,17.55
2015-01-10,274.7959899902344,91.94000244140624,1211.25,0.12,1.95,17.55
2015-01-11,265.6600036621094,91.94000244140624,1211.25,0.12,1.95,17.55
2015-01-12,267.7959899902344,91.9800033569336,1222.0,0.12,1.909,19.6
2015-01-13,225.86099243164065,92.30999755859376,1239.0,0.12,1.905,20.56
2015-01-14,178.10299682617188,92.16000366210938,1228.75,0.12,1.855,21.48
2015-01-15,209.843994140625,92.3499984741211,1235.25,0.12,1.728,22.39
2015-01-16,208.0970001220703,92.5199966430664,1258.25,0.13,1.831,20.95
2015-01-17,199.259994506836,92.5199966430664,1258.25,0.13,1.831,20.95
2015-01-18,210.3390045166016,92.5199966430664,1258.25,0.13,1.831,20.95
2015-01-19,214.86099243164065,92.5199966430664,1275.5,0.13,1.8,20.95
2015-01-20,211.31500244140625,93.0500030517578,1292.25,0.12,1.791,19.89
2015-01-21,226.89700317382807,92.9000015258789,1298.0,0.12,1.875,18.85
2015-01-22,233.406005859375,94.23999786376952,1287.0,0.12,1.872,16.4
2015-01-23,232.8789978027344,95.0,1293.5,0.12,1.789,16.66
2015-01-24,247.8470001220703,95.0,1293.5,0.12,1.789,16.66
2015-01-25,253.718002319336,95.0,1293.5,0.12,1.789,16.66
2015-01-26,273.4729919433594,94.8000030517578,1282.75,0.12,1.828,15.52
2015-01-27,263.4750061035156,94.0199966430664,1279.0,0.11,1.828,17.22
2015-01-28,233.9149932861328,94.47000122070312,1287.0,0.12,1.719,20.44
2015-01-29,233.51300048828125,94.77999877929688,1275.5,0.11,1.756,18.76
2015-01-30,226.4250030517578,94.8000030517578,1263.5,0.06,1.639,20.97
2015-01-31,217.4640045166016,94.8000030517578,1263.5,0.06,1.639,20.97
2015-02-01,226.9720001220703,94.8000030517578,1263.5,0.06,1.639,20.97
2015-02-02,238.22900390625,94.5,1274.25,0.12,1.674,19.43
2015-02-03,227.2680053710937,93.5999984741211,1281.0,0.12,1.798,17.33
2015-02-04,226.85299682617188,93.98999786376952,1269.25,0.11,1.747,18.33
2015-02-05,217.11099243164065,94.6999969482422,1263.75,0.12,1.817,16.85
2015-02-06,222.26600646972656,94.6999969482422,1264.0,0.11,1.958,17.29
2015-02-07,227.7539978027344,94.6999969482422,1264.0,0.11,1.958,17.29
2015-02-08,223.41200256347656,94.6999969482422,1264.0,0.11,1.958,17.29
2015-02-09,220.1100006103516,94.4499969482422,1242.25,0.12,1.978,18.55
2015-02-10,219.8390045166016,94.76000213623048,1237.5,0.12,2.004,17.23
2015-02-11,219.1849975585937,94.98999786376952,1235.5,0.12,2.021,16.96
2015-02-12,221.76400756835932,94.08999633789062,1225.25,0.12,1.988,15.34
2015-02-13,235.427001953125,94.1999969482422,1225.75,0.12,2.047,14.69
2015-02-14,257.3210144042969,94.1999969482422,1225.75,0.12,2.047,14.69
2015-02-15,234.8249969482422,94.1999969482422,1225.75,0.12,2.047,14.69
2015-02-16,233.843002319336,94.1999969482422,1233.5,0.12,2.019,14.69
2015-02-17,243.6100006103516,94.05999755859376,1221.75,0.12,2.145,15.8
2015-02-18,236.3260040283203,94.1999969482422,1206.5,0.12,2.085,15.45
2015-02-19,240.2830047607422,94.4000015258789,1217.75,0.12,2.122,15.29
2015-02-20,243.7790069580078,94.25,1203.5,0.12,2.115,14.3
2015-02-21,244.53399658203125,94.25,1203.5,0.12,2.115,14.3
2015-02-22,235.9770050048828,94.25,1203.5,0.12,2.115,14.3
2015-02-23,238.8919982910156,94.56999969482422,1193.5,0.11,2.061,14.56
2015-02-24,238.7350006103516,94.48999786376952,1195.5,0.11,1.972,13.69
2015-02-25,237.47000122070312,94.20999908447266,1206.5,0.11,1.972,13.84
2015-02-26,236.42599487304688,95.29000091552734,1220.0,0.11,2.031,13.91
2015-02-27,253.8280029296875,95.25,1205.0,0.06,1.996,13.34
2015-02-28,254.26300048828125,95.25,1205.0,0.06,1.996,13.34
2015-03-01,260.2019958496094,95.25,1205.0,0.06,1.996,13.34
2015-03-02,275.6700134277344,95.45999908447266,1216.75,0.12,2.089,13.04
2015-03-03,281.7019958496094,95.37999725341795,1207.75,0.12,2.122,13.86
2015-03-04,273.0920104980469,95.97000122070312,1204.25,0.11,2.119,14.23
2015-03-05,276.1780090332031,96.37999725341795,1199.75,0.11,2.117,14.04
2015-03-06,272.7229919433594,97.62000274658205,1196.5,0.12,2.247,15.2
2015-03-07,276.260986328125,97.62000274658205,1196.5,0.12,2.247,15.2
2015-03-08,274.35400390625,97.62000274658205,1196.5,0.12,2.247,15.2
2015-03-09,289.60699462890625,97.58999633789062,1173.75,0.12,2.192,15.06
2015-03-10,291.760009765625,98.62000274658205,1161.0,0.12,2.121,16.69
2015-03-11,296.3789978027344,99.8000030517578,1158.75,0.11,2.109,16.87
2015-03-12,294.35400390625,99.1500015258789,1161.25,0.11,2.11,15.42
2015-03-13,285.3370056152344,100.33000183105467,1156.5,0.11,2.118,16.0
2015-03-14,281.885009765625,100.33000183105467,1156.5,0.11,2.118,16.0
2015-03-15,286.3930053710937,100.33000183105467,1156.5,0.11,2.118,16.0
2015-03-16,290.5929870605469,99.5999984741211,1157.0,0.12,2.074,15.61
2015-03-17,285.5050048828125,99.58999633789062,1154.75,0.12,2.052,15.66
2015-03-18,256.29901123046875,98.5500030517578,1149.0,0.11,1.918,13.97
2015-03-19,260.9280090332031,99.0999984741211,1164.0,0.12,1.97,14.07
2015-03-20,261.7489929199219,97.91000366210938,1171.75,0.12,1.932,13.02
2015-03-21,260.0249938964844,97.91000366210938,1171.75,0.12,1.932,13.02
2015-03-22,267.9599914550781,97.91000366210938,1171.75,0.12,1.932,13.02
2015-03-23,266.739990234375,97.02999877929688,1181.4,0.12,1.909,13.41
2015-03-24,245.59500122070312,97.19000244140624,1193.25,0.11,1.873,13.62
2015-03-25,246.197006225586,96.9800033569336,1192.55,0.12,1.927,15.44
2015-03-26,248.5319976806641,97.44000244140624,1209.4,0.11,1.996,15.8
2015-03-27,247.0290069580078,97.29000091552734,1198.0,0.12,1.96,15.07
2015-03-28,252.79800415039065,97.29000091552734,1198.0,0.12,1.96,15.07
2015-03-29,242.71299743652344,97.29000091552734,1198.0,0.12,1.96,15.07
2015-03-30,247.5260009765625,97.9800033569336,1187.4,0.12,1.953,14.51
2015-03-31,244.2239990234375,98.36000061035156,1179.25,0.06,1.927,15.29
2015-04-01,247.27200317382807,98.19000244140624,1181.25,0.12,1.859,15.11
2015-04-02,253.0050048828125,97.44000244140624,1201.5,0.12,1.913,14.67
2015-04-03,254.322006225586,97.44000244140624,1201.5,0.12,1.842,14.67
2015-04-04,253.697006225586,97.44000244140624,1201.5,0.12,1.842,14.67
2015-04-05,260.5979919433594,97.44000244140624,1201.5,0.12,1.842,14.67
2015-04-06,255.49200439453125,97.11000061035156,1201.5,0.13,1.899,14.74
2015-04-07,253.17999267578125,97.83000183105467,1208.5,0.12,1.887,14.78
2015-04-08,245.02200317382807,98.06999969482422,1211.1,0.12,1.906,13.98
2015-04-09,243.67599487304688,99.16000366210938,1196.0,0.12,1.963,13.09
2015-04-10,236.072006225586,99.38999938964844,1201.9,0.12,1.949,12.58
2015-04-11,236.552001953125,99.38999938964844,1201.9,0.12,1.949,12.58
2015-04-12,236.1529998779297,99.38999938964844,1201.9,0.12,1.949,12.58
2015-04-13,224.5870056152344,99.48999786376952,1197.85,0.13,1.93,13.94
2015-04-14,219.15899658203125,98.76000213623048,1191.45,0.13,1.9,13.67
2015-04-15,223.8329925537109,98.33000183105467,1189.85,0.13,1.89,12.84
2015-04-16,228.572998046875,97.41999816894533,1204.6,0.13,1.895,12.6
2015-04-17,222.8820037841797,97.5199966430664,1204.55,0.13,1.865,13.89
2015-04-18,223.3560028076172,97.5199966430664,1204.55,0.13,1.865,13.89
2015-04-19,222.6000061035156,97.5199966430664,1204.55,0.13,1.865,13.89
2015-04-20,224.62600708007807,97.94000244140624,1203.25,0.13,1.886,13.3
2015-04-21,235.2689971923828,97.9800033569336,1197.7,0.13,1.911,13.25
2015-04-22,234.17599487304688,98.0199966430664,1202.4,0.13,1.982,12.71
2015-04-23,236.4620056152344,97.27999877929688,1187.75,0.13,1.954,12.48
2015-04-24,231.2680053710937,96.91999816894533,1192.15,0.13,1.914,12.29
2015-04-25,226.38999938964844,96.91999816894533,1192.15,0.13,1.914,12.29
2015-04-26,219.42999267578125,96.91999816894533,1192.15,0.13,1.914,12.29
2015-04-27,229.28599548339844,96.7699966430664,1182.75,0.13,1.926,13.12
2015-04-28,225.85499572753903,96.08999633789062,1201.4,0.13,2.003,12.41
2015-04-29,225.80799865722656,95.12000274658205,1204.8,0.13,2.046,13.39
2015-04-30,236.1450042724609,94.5999984741211,1204.3,0.08,2.035,14.55
2015-05-01,232.07899475097656,95.3000030517578,1179.0,0.13,2.112,12.7
2015-05-02,234.92999267578125,95.3000030517578,1179.0,0.13,2.112,12.7
2015-05-03,240.3580017089844,95.3000030517578,1179.0,0.13,2.112,12.7
2015-05-04,239.0180053710937,95.4800033569336,1179.0,0.13,2.146,12.85
2015-05-05,236.1210021972656,95.12999725341795,1187.4,0.13,2.182,14.31
2015-05-06,229.7819976806641,94.12999725341795,1191.25,0.13,2.252,15.15
2015-05-07,237.33399963378903,94.62000274658205,1183.0,0.13,2.178,15.13
2015-05-08,243.86300659179688,94.79000091552734,1185.25,0.13,2.142,12.86
2015-05-09,241.83200073242188,94.79000091552734,1185.25,0.13,2.142,12.86
2015-05-10,240.29600524902344,94.79000091552734,1185.25,0.13,2.142,12.86
2015-05-11,242.1580047607422,95.01000213623048,1184.75,0.13,2.287,13.85
2015-05-12,241.11199951171875,94.52999877929688,1184.45,0.13,2.247,13.86
2015-05-13,236.3769989013672,93.62000274658205,1193.0,0.13,2.295,13.76
2015-05-14,236.9290008544922,93.36000061035156,1214.75,0.13,2.235,12.74
2015-05-15,237.60499572753903,93.13999938964844,1216.3,0.13,2.148,12.38
2015-05-16,236.1529998779297,93.13999938964844,1216.3,0.13,2.148,12.38
2015-05-17,236.802001953125,93.13999938964844,1216.3,0.13,2.148,12.38
2015-05-18,233.1280059814453,94.19000244140624,1228.15,0.13,2.234,12.73
2015-05-19,231.947006225586,95.2699966430664,1219.65,0.12,2.29,12.85
2015-05-20,234.0180053710937,95.4499969482422,1206.75,0.12,2.257,12.88
2015-05-21,235.343994140625,95.26000213623048,1209.6,0.12,2.195,12.11
2015-05-22,240.34800720214844,96.01000213623048,1211.0,0.13,2.215,12.13
2015-05-23,238.8719940185547,96.01000213623048,1211.0,0.13,2.215,12.13
2015-05-24,240.9530029296875,96.01000213623048,1211.0,0.13,2.215,12.13
2015-05-25,237.1100006103516,96.01000213623048,1211.0,0.13,2.204,12.13
2015-05-26,237.11599731445312,97.3000030517578,1194.0,0.12,2.142,14.06
2015-05-27,237.2830047607422,97.37000274658205,1186.5,0.12,2.13,13.27
2015-05-28,237.4080047607422,96.97000122070312,1188.8,0.12,2.135,13.31
2015-05-29,237.0959930419922,96.91000366210938,1189.8,0.08,2.123,13.84
2015-05-30,233.34500122070312,96.91000366210938,1189.8,0.08,2.123,13.84
2015-05-31,230.19000244140625,96.91000366210938,1189.8,0.08,2.123,13.84
2015-06-01,222.92599487304688,97.38999938964844,1188.7,0.12,2.183,13.97
2015-06-02,225.8029937744141,95.83999633789062,1194.4,0.12,2.266,14.24
2015-06-03,225.87399291992188,95.47000122070312,1184.9,0.13,2.361,13.66
2015-06-04,224.32400512695312,95.45999908447266,1175.2,0.13,2.309,14.71
2015-06-05,224.95199584960932,96.30999755859376,1168.1,0.13,2.409,14.21
2015-06-06,225.61900329589844,96.30999755859376,1168.1,0.13,2.409,14.21
2015-06-07,222.8809967041016,96.30999755859376,1168.1,0.13,2.409,14.21
2015-06-08,228.488998413086,95.3000030517578,1173.6,0.13,2.382,15.29
2015-06-09,229.04800415039065,95.16999816894533,1177.6,0.13,2.442,14.47
2015-06-10,228.8029937744141,94.6500015258789,1186.6,0.13,2.486,13.22
2015-06-11,229.7050018310547,94.9800033569336,1180.4,0.13,2.381,12.85
2015-06-12,229.98199462890625,94.97000122070312,1179.2,0.13,2.39,13.78
2015-06-13,232.4019927978516,94.97000122070312,1179.2,0.13,2.39,13.78
2015-06-14,233.54299926757807,94.97000122070312,1179.2,0.13,2.39,13.78
2015-06-15,236.822998046875,94.80999755859376,1185.8,0.13,2.36,15.39
2015-06-16,250.8950042724609,95.0,1180.9,0.14,2.309,14.81
2015-06-17,249.28399658203125,94.3000030517578,1176.8,0.14,2.32,14.5
2015-06-18,249.0070037841797,94.04000091552734,1202.0,0.14,2.334,13.19
2015-06-19,244.6060028076172,94.08999633789062,1201.9,0.13,2.261,13.96
2015-06-20,245.2120056152344,94.08999633789062,1201.9,0.13,2.261,13.96
2015-06-21,243.94400024414065,94.08999633789062,1201.9,0.13,2.261,13.96
2015-06-22,246.9900054931641,94.33000183105467,1184.1,0.13,2.374,12.74
2015-06-23,244.29600524902344,95.43000030517578,1176.6,0.13,2.414,12.11
2015-06-24,240.51499938964844,95.26000213623048,1172.9,0.13,2.373,13.26
2015-06-25,242.7989959716797,95.19000244140624,1171.8,0.13,2.412,14.01
2015-06-26,243.593994140625,95.47000122070312,1173.2,0.13,2.474,14.02
2015-06-27,250.9900054931641,95.47000122070312,1173.2,0.13,2.474,14.02
2015-06-28,249.0110015869141,95.47000122070312,1173.2,0.13,2.474,14.02
2015-06-29,257.0639953613281,94.79000091552734,1179.0,0.14,2.328,18.85
2015-06-30,263.0719909667969,95.48999786376952,1171.8,0.08,2.349,18.23
2015-07-01,258.6210021972656,96.30999755859376,1169.3,0.13,2.427,16.09
2015-07-02,255.41200256347656,96.11000061035156,1163.5,0.13,2.386,16.79
2015-07-03,256.33599853515625,96.11000061035156,1168.25,0.13,2.386,16.79
2015-07-04,260.885986328125,96.11000061035156,1168.25,0.13,2.386,16.79
2015-07-05,271.9129943847656,96.11000061035156,1168.25,0.13,2.386,16.79
2015-07-06,269.0299987792969,96.3000030517578,1173.2,0.13,2.29,17.01
2015-07-07,266.2070007324219,96.87000274658205,1152.6,0.13,2.255,16.09
2015-07-08,270.7850036621094,96.29000091552734,1163.5,0.13,2.197,19.66
2015-07-09,269.2279968261719,96.61000061035156,1159.2,0.13,2.317,19.97
2015-07-10,284.8940124511719,96.02999877929688,1157.9,0.13,2.401,16.83
2015-07-11,293.114990234375,96.02999877929688,1157.9,0.13,2.401,16.83
2015-07-12,310.86700439453125,96.02999877929688,1157.9,0.13,2.401,16.83
2015-07-13,292.0539855957031,96.86000061035156,1155.4,0.13,2.446,13.9
2015-07-14,287.4639892578125,96.63999938964844,1153.5,0.13,2.397,13.37
2015-07-15,285.8290100097656,97.12999725341795,1147.4,0.13,2.356,13.23
2015-07-16,278.0889892578125,97.66000366210938,1143.9,0.14,2.356,12.11
2015-07-17,279.47198486328125,97.86000061035156,1131.9,0.13,2.347,11.95
2015-07-18,274.9010009765625,97.86000061035156,1131.9,0.13,2.347,11.95
2015-07-19,273.614013671875,97.86000061035156,1131.9,0.13,2.347,11.95
2015-07-20,278.9809875488281,98.02999877929688,1106.8,0.14,2.38,12.25
2015-07-21,275.8330078125,97.33000183105467,1103.5,0.13,2.331,12.22
2015-07-22,277.22198486328125,97.5999984741211,1091.5,0.13,2.327,12.12
2015-07-23,276.04901123046875,97.12000274658205,1095.1,0.13,2.269,12.64
2015-07-24,288.27801513671875,97.23999786376952,1086.0,0.13,2.262,13.74
2015-07-25,288.6969909667969,97.23999786376952,1086.0,0.13,2.262,13.74
2015-07-26,292.6860046386719,97.23999786376952,1086.0,0.13,2.262,13.74
2015-07-27,293.6239929199219,96.5,1096.9,0.14,2.216,15.6
2015-07-28,294.427001953125,96.7699966430664,1096.7,0.14,2.25,13.44
2015-07-29,289.5899963378906,96.9800033569336,1093.3,0.14,2.289,12.5
2015-07-30,287.72198486328125,97.55999755859376,1088.7,0.14,2.257,12.13
2015-07-31,284.6499938964844,97.37000274658205,1095.1,0.08,2.187,12.12
2015-08-01,281.6010131835937,97.37000274658205,1095.1,0.08,2.187,12.12
2015-08-02,282.614013671875,97.37000274658205,1095.1,0.08,2.187,12.12
2015-08-03,281.2269897460937,97.48999786376952,1089.4,0.14,2.15,12.56
2015-08-04,285.2179870605469,97.93000030517578,1090.7,0.14,2.223,13.0
2015-08-05,281.8819885253906,97.95999908447266,1085.6,0.14,2.27,12.51
2015-08-06,278.5769958496094,97.83000183105467,1090.1,0.14,2.227,13.77
2015-08-07,279.5849914550781,97.55999755859376,1094.1,0.14,2.166,13.39
2015-08-08,260.9970092773437,97.55999755859376,1094.1,0.14,2.166,13.39
2015-08-09,265.0830078125,97.55999755859376,1094.1,0.14,2.166,13.39
2015-08-10,264.4700012207031,97.16000366210938,1104.1,0.14,2.232,12.23
2015-08-11,270.385986328125,97.29000091552734,1107.7,0.15,2.143,13.71
2015-08-12,266.3760070800781,96.26000213623048,1123.6,0.15,2.148,13.61
2015-08-13,264.0799865722656,96.4499969482422,1115.6,0.15,2.189,13.49
2015-08-14,265.67999267578125,96.56999969482422,1112.7,0.14,2.201,12.83
2015-08-15,261.5509948730469,96.56999969482422,1112.7,0.14,2.201,12.83
2015-08-16,258.5069885253906,96.56999969482422,1112.7,0.14,2.201,12.83
2015-08-17,257.9760131835937,96.81999969482422,1118.4,0.15,2.17,13.02
2015-08-18,211.07899475097656,96.97000122070312,1116.9,0.15,2.192,13.79
2015-08-19,226.6840057373047,96.45999908447266,1127.9,0.15,2.129,15.25
2015-08-20,235.3500061035156,95.75,1153.2,0.15,2.073,19.14
2015-08-21,232.56900024414065,94.83000183105467,1159.6,0.15,2.045,28.03
2015-08-22,230.38999938964844,94.83000183105467,1159.6,0.15,2.045,28.03
2015-08-23,228.16900634765625,94.83000183105467,1159.6,0.15,2.045,28.03
2015-08-24,210.4949951171875,93.30999755859376,1153.6,0.15,2.012,40.74
2015-08-25,221.60899353027344,94.52999877929688,1138.3,0.15,2.078,36.02
2015-08-26,225.8309936523437,95.0999984741211,1124.6,0.14,2.18,30.32
2015-08-27,224.7689971923828,95.61000061035156,1122.6,0.14,2.191,26.1
2015-08-28,231.39599609375,96.11000061035156,1134.0,0.14,2.184,26.05
2015-08-29,229.77999877929688,96.11000061035156,1134.0,0.14,2.184,26.05
2015-08-30,228.7610015869141,96.11000061035156,1134.0,0.14,2.184,26.05
2015-08-31,230.05599975585932,95.9499969482422,1132.5,0.08,2.214,28.43
2015-09-01,228.1210021972656,95.4499969482422,1139.8,0.14,2.159,31.4
2015-09-02,229.28399658203125,95.83000183105467,1133.6,0.14,2.188,26.09
2015-09-03,227.18299865722656,96.41000366210938,1124.5,0.14,2.163,25.61
2015-09-04,230.29800415039065,96.2300033569336,1121.4,0.14,2.131,27.8
2015-09-05,235.0189971923828,96.2300033569336,1121.4,0.14,2.131,27.8
2015-09-06,239.83999633789065,96.2300033569336,1121.4,0.14,2.131,27.8
2015-09-07,239.8470001220703,96.2300033569336,1121.0,0.14,2.151,27.8
2015-09-08,243.60699462890625,95.87999725341795,1121.0,0.14,2.186,24.9
2015-09-09,238.16799926757807,96.01000213623048,1102.0,0.14,2.195,26.23
2015-09-10,238.4770050048828,95.45999908447266,1109.3,0.14,2.227,24.37
2015-09-11,240.10699462890625,95.19000244140624,1103.3,0.14,2.187,23.2
2015-09-12,235.22900390625,95.19000244140624,1103.3,0.14,2.187,23.2
2015-09-13,230.51199340820312,95.19000244140624,1103.3,0.14,2.187,23.2
2015-09-14,230.6439971923828,95.25,1107.7,0.14,2.183,24.25
2015-09-15,230.3040008544922,95.61000061035156,1102.6,0.14,2.292,22.54
2015-09-16,229.09100341796875,95.41999816894533,1119.0,0.14,2.296,21.35
2015-09-17,229.8099975585937,94.5500030517578,1117.0,0.14,2.192,21.14
2015-09-18,232.9750061035156,94.86000061035156,1137.8,0.14,2.134,22.28
2015-09-19,231.4929962158203,94.86000061035156,1137.8,0.14,2.134,22.28
2015-09-20,231.2120056152344,94.86000061035156,1137.8,0.14,2.134,22.28
2015-09-21,227.0850067138672,95.88999938964844,1132.8,0.14,2.199,20.14
2015-09-22,230.6179962158203,96.27999877929688,1124.8,0.14,2.132,22.44
2015-09-23,230.2830047607422,96.06999969482422,1131.5,0.14,2.151,22.13
2015-09-24,234.5290069580078,95.98999786376952,1153.8,0.14,2.128,23.47
2015-09-25,235.1439971923828,96.2699966430664,1145.6,0.13,2.166,23.62
2015-09-26,234.33999633789065,96.2699966430664,1145.6,0.13,2.166,23.62
2015-09-27,232.7570037841797,96.2699966430664,1145.6,0.13,2.166,23.62
2015-09-28,239.1419982910156,96.02999877929688,1131.7,0.13,2.098,27.63
2015-09-29,236.6869964599609,95.88999938964844,1126.8,0.13,2.06,26.83
2015-09-30,236.0599975585937,96.3499984741211,1115.2,0.07,2.035,24.5
2015-10-01,237.5489959716797,96.19000244140624,1113.7,0.13,2.042,22.55
2015-10-02,237.29299926757807,95.83000183105467,1136.6,0.13,1.991,20.94
2015-10-03,238.72999572753903,95.83000183105467,1136.6,0.13,1.991,20.94
2015-10-04,238.25900268554688,95.83000183105467,1136.6,0.13,1.991,20.94
2015-10-05,240.38299560546875,96.11000061035156,1137.6,0.13,2.058,19.54
2015-10-06,246.06300354003903,95.45999908447266,1146.4,0.13,2.035,19.4
2015-10-07,242.968994140625,95.5,1148.7,0.13,2.065,18.4
2015-10-08,242.3040008544922,95.31999969482422,1144.3,0.13,2.102,17.42
2015-10-09,243.93099975585932,94.80999755859376,1155.9,0.13,2.09,17.08
2015-10-10,244.9409942626953,94.80999755859376,1155.9,0.13,2.09,17.08
2015-10-11,247.0500030517578,94.80999755859376,1155.9,0.13,2.09,17.08
2015-10-12,245.30799865722656,94.83999633789062,1164.5,0.13,2.07,16.17
2015-10-13,249.50799560546875,94.76000213623048,1165.4,0.13,2.042,17.67
2015-10-14,251.988998413086,93.93000030517578,1179.8,0.13,1.975,18.03
2015-10-15,254.32000732421875,94.37000274658205,1187.5,0.13,2.019,16.05
2015-10-16,262.8689880371094,94.54000091552734,1183.1,0.13,2.035,15.05
2015-10-17,270.6400146484375,94.54000091552734,1183.1,0.13,2.035,15.05
2015-10-18,261.6430053710937,94.54000091552734,1183.1,0.13,2.035,15.05
2015-10-19,263.43701171875,94.95999908447266,1172.8,0.13,2.023,14.98
2015-10-20,269.4630126953125,94.8499984741211,1177.5,0.13,2.069,15.75
2015-10-21,266.2720031738281,95.0500030517578,1167.1,0.13,2.028,16.7
2015-10-22,274.02301025390625,96.33999633789062,1166.1,0.12,2.028,14.45
2015-10-23,276.4960021972656,97.06999969482422,1162.8,0.12,2.087,14.46
2015-10-24,281.65399169921875,97.06999969482422,1162.8,0.12,2.087,14.46
2015-10-25,283.67999267578125,97.06999969482422,1162.8,0.12,2.087,14.46
2015-10-26,285.29998779296875,96.86000061035156,1166.2,0.12,2.058,15.29
2015-10-27,293.7879943847656,96.91000366210938,1165.8,0.12,2.037,15.43
2015-10-28,304.6180114746094,97.77999877929688,1176.1,0.12,2.101,14.33
2015-10-29,313.8550109863281,97.27999877929688,1147.3,0.12,2.172,14.61
2015-10-30,328.0150146484375,96.9499969482422,1141.4,0.07,2.146,15.07
2015-10-31,314.1659851074219,96.9499969482422,1141.4,0.07,2.146,15.07
2015-11-01,325.4309997558594,96.9499969482422,1141.4,0.07,2.146,15.07
2015-11-02,361.1889953613281,96.93000030517578,1135.9,0.12,2.176,14.15
2015-11-03,403.4169921875,97.16000366210938,1114.1,0.12,2.218,14.54
2015-11-04,411.56298828125,97.9499969482422,1106.2,0.12,2.227,15.51
2015-11-05,386.35400390625,97.94000244140624,1104.2,0.12,2.236,15.05
2015-11-06,374.4700012207031,99.16000366210938,1087.7,0.12,2.325,14.33
2015-11-07,386.4819946289063,99.16000366210938,1087.7,0.12,2.325,14.33
2015-11-08,373.3680114746094,99.16000366210938,1087.7,0.12,2.325,14.33
2015-11-09,380.2569885253906,98.9800033569336,1088.1,0.12,2.349,16.52
2015-11-10,336.8190002441406,99.29000091552734,1088.5,0.12,2.336,15.29
2015-11-11,311.0840148925781,99.01000213623048,1084.9,0.12,2.331,16.06
2015-11-12,338.1520080566406,98.6500015258789,1081.0,0.12,2.315,18.37
2015-11-13,336.75299072265625,98.98999786376952,1080.9,0.12,2.275,20.08
2015-11-14,332.906005859375,98.98999786376952,1080.9,0.12,2.275,20.08
2015-11-15,320.1659851074219,98.98999786376952,1080.9,0.12,2.275,20.08
2015-11-16,330.7510070800781,99.44000244140624,1083.6,0.13,2.271,18.16
2015-11-17,335.093994140625,99.62999725341795,1068.6,0.13,2.268,18.84
2015-11-18,334.5899963378906,99.6500015258789,1068.7,0.12,2.273,16.85
2015-11-19,326.14898681640625,98.98999786376952,1078.1,0.12,2.247,16.99
2015-11-20,322.0220031738281,99.56999969482422,1076.3,0.12,2.264,15.47
2015-11-21,326.927001953125,99.56999969482422,1076.3,0.12,2.264,15.47
2015-11-22,324.5360107421875,99.56999969482422,1076.3,0.12,2.264,15.47
2015-11-23,323.0459899902344,99.8000030517578,1066.6,0.12,2.243,15.62
2015-11-24,320.0459899902344,99.52999877929688,1073.3,0.12,2.239,15.93
2015-11-25,328.2059936523437,99.8000030517578,1069.7,0.12,2.234,15.19
2015-11-26,352.6839904785156,99.8000030517578,1070.5,0.12,2.224,15.19
2015-11-27,358.0419921875,100.0199966430664,1056.2,0.12,2.222,15.12
2015-11-28,357.3810119628906,100.0199966430664,1056.2,0.12,2.222,15.12
2015-11-29,371.29400634765625,100.0199966430664,1056.2,0.12,2.222,15.12
2015-11-30,377.3210144042969,100.16999816894533,1065.3,0.08,2.208,16.13
2015-12-01,362.4880065917969,99.8000030517578,1063.5,0.13,2.145,14.67
2015-12-02,359.18701171875,99.98999786376952,1053.8,0.13,2.178,15.91
2015-12-03,361.0459899902344,97.62000274658205,1061.2,0.13,2.321,18.11
2015-12-04,363.1830139160156,98.3499984741211,1084.1,0.13,2.273,14.81
2015-12-05,388.9490051269531,98.3499984741211,1084.1,0.13,2.273,14.81
2015-12-06,388.7829895019531,98.3499984741211,1084.1,0.13,2.273,14.81
2015-12-07,395.5360107421875,98.66000366210938,1075.2,0.13,2.236,15.84
2015-12-08,415.56298828125,98.47000122070312,1075.3,0.13,2.222,17.6
