Date,BTC_Price,BTC_Market_Cap,ETH_Price,ETH_Market_Cap,XRP_Price,XRP_Market_Cap
2015-08-15,261.495,3845288527.566247,1.69244,102829936.90891764,0.00842592,268149680.516636
2015-08-16,258.514,3769613399.204592,1.51268,83158087.0821588,0.00831268,266722231.09906745
2015-08-17,257.953,3749087429.453955,1.20073,84934652.80960244,0.00830267,264840987.27450812
2015-08-18,213.158,3694728189.637868,1.09508,88139259.82081679,0.00770825,260986045.56854305
2015-08-19,226.722,3601004319.4306297,1.25117,97285895.22878934,0.00777305,249859100.95867893
2015-08-20,235.415,3392198609.603065,1.46545,97607238.30905452,0.00787111,248575242.2930756
2015-08-21,232.759,3398106159.9754586,1.41899,109308444.89516748,0.00787901,251372165.70785335
2015-08-22,230.484,3344725368.4254284,1.39285,103086155.3794154,0.00771995,248996808.44445756
2015-08-23,228.383,3336706726.029783,1.35618,97822824.55774896,0.00755247,243689144.61046413
2015-08-24,211.394,3202009319.5916486,1.23411,94084641.7872294,0.00739334,241301274.13893485
2015-08-25,221.676,3117026270.192241,1.14198,86675453.3533076,0.00712892,234188215.41010687
2015-08-26,225.817,3293439069.07088,1.16774,82633072.31039983,0.00749052,237252548.7474237
2015-08-27,224.557,3292432366.48548,1.14679,85068486.71590093,0.00754951,245265668.8938754
2015-08-28,231.477,3316399144.483503,1.18894,85100800.77690716,0.00743394,242510158.90084124
2015-08-29,229.794,3351923495.1590323,1.18326,86111875.86875188,0.00775094,244238309.60202432
2015-08-30,228.479,3331413176.152279,1.32211,92560147.08193766,0.0080483,258490235.53515145
2015-08-31,230.18,3339209561.5514917,1.3501,96561657.07810366,0.00788303,259153925.563765
2015-09-01,228.046,3332392081.9242373,1.35144,98766560.15346298,0.00781396,254038639.17996964
2015-09-02,229.229,3327063509.17007,1.29173,96621951.5632782,0.00769948,252289195.04239985
2015-09-03,227.057,3319457636.9637017,1.26749,93097387.0224015,0.00743114,246719499.3685395
2015-09-04,230.39,3342214923.120745,1.27439,92659593.17904916,0.00735449,238280730.87587667
2015-09-05,235.046,3381037777.348488,1.33472,95096263.8977246,0.00786055,250121056.123259
2015-09-06,239.945,3491769005.919418,1.2973,97059525.30677351,0.00788866,255305828.0193309
2015-09-07,240.091,3505577412.4749346,1.24782,92893955.41385645,0.00791575,257191670.18293312
2015-09-08,243.618,3547366742.1233525,1.23828,91332731.70131998,0.00783045,256159843.7847993
2015-09-09,238.105,3507370075.0555763,1.20568,89496923.33294614,0.00767702,250637590.6710744
2015-09-10,238.596,3483783754.928237,1.16993,87045370.44853917,0.00766259,250140543.1331505
2015-09-11,240.17,3501850321.745252,0.980469,77040069.28754552,0.00841845,252612962.38037428
2015-09-12,235.184,3478113453.5604606,1.04649,75550631.02516094,0.00819995,269309424.8334015
2015-09-13,230.809,3405790648.0408,0.934392,72128348.030042,0.00853271,269333901.9865384
2015-09-14,230.656,3369346120.391469,0.878408,67040620.91958556,0.00740838,269123150.7171135
2015-09-15,230.381,3375201202.543965,0.941645,67513998.8601051,0.00771877,247154237.6439684
2015-09-16,229.063,3350993856.707084,0.905947,67613413.06434184,0.00742471,245703937.5704579
2015-09-17,229.81,3355717947.312611,0.875142,63832704.85118236,0.00737183,240156137.0861492
2015-09-18,233.025,3468294354.270612,0.851872,63166072.577046834,0.00752813,243552516.81289515
2015-09-19,231.487,3392054056.151419,0.8846,62260600.53277101,0.00748284,242814107.39963585
2015-09-20,231.151,3386392978.476642,0.943408,65648629.163787775,0.00763314,245717499.05175552
2015-09-21,226.888,3347021676.069608,0.918502,68142535.32215227,0.00724716,241710463.2868252
2015-09-22,230.586,3354035375.3887787,0.902008,65688649.13372069,0.00716724,233889822.53454053
2015-09-23,230.3,3384436831.491922,0.896117,65762018.0091488,0.00666831,226201075.9141872
2015-09-24,234.536,3407557063.062077,0.81789,63712014.59221348,0.00670765,215939922.0534684
2015-09-25,235.208,3449317759.942262,0.734289,56961822.12836281,0.00664975,216696510.5025816
2015-09-26,234.384,3433803961.702637,0.78427,54169302.7840213,0.00650106,213417084.2273901
2015-09-27,232.748,3420831175.0319924,0.720667,55249655.83535727,0.00653384,211379022.3161664
2015-09-28,239.167,3478178242.570955,0.577433,48195157.74510671,0.00628988,210715996.8039812
2015-09-29,236.549,3485072432.9502883,0.657358,45265772.30102425,0.00558499,196300231.98307055
2015-09-30,236.083,3472733364.128594,0.731122,49414713.266271874,0.00551904,178130939.3862823
2015-10-01,237.551,3474166610.271192,0.687993,50690393.70307769,0.00544795,177585662.98266566
2015-10-02,237.319,3481225891.727496,0.674621,49057958.84751564,0.00586794,182652488.8140928
2015-10-03,238.795,3495593907.0279727,0.687157,51103065.34703005,0.0055139,188020146.12742245
2015-10-04,238.199,3499140396.399574,0.668705,49793714.60371744,0.00523804,174335601.09436816
2015-10-05,240.24,3502225263.699932,0.62445,48550357.13434133,0.00501723,164522365.17931893
2015-10-06,246.044,3567769843.8405666,0.65061,45378575.110078655,0.00532891,168885678.88218033
2015-10-07,242.881,3601844703.7734494,0.609239,46634599.4096639,0.00538144,176617675.74979082
2015-10-08,242.402,3578798260.4441867,0.619139,44418535.25882908,0.00503287,169238870.44464698
2015-10-09,243.952,3581397472.15753,0.651422,51046117.68691106,0.00498351,160317660.4869412
2015-10-10,244.885,3588105668.070893,0.626888,46493412.84032284,0.00503728,163989462.4244187
2015-10-11,247.128,3603572626.176251,0.63516,46308609.86731639,0.00518224,165547789.71657225
2015-10-12,245.323,3622135067.5170655,0.628279,46928845.31870664,0.00524688,169632080.34246626
2015-10-13,249.332,3638469290.713744,0.608228,45361236.30943461,0.00537627,176950037.57565686
2015-10-14,252.077,3691972675.4392047,0.521926,42199460.7724176,0.00542141,179730466.37724426
2015-10-15,254.381,3741624053.534248,0.559523,39921372.27346393,0.00539873,179949515.82363787
2015-10-16,262.606,3816867599.174969,0.536197,40517594.96437642,0.00539749,178750820.26032662
2015-10-17,271.089,3954395115.187737,0.548027,39581524.87527476,0.00520065,176393670.74973255
2015-10-18,261.688,3924552350.956304,0.51719,39410531.19982836,0.00497485,167657482.55498615
2015-10-19,263.468,3879586602.7534246,0.488771,36962701.11493789,0.00504292,167013534.16998726
2015-10-20,269.461,3928991875.974575,0.43857,36122864.22537975,0.00473073,162636896.0986992
2015-10-21,266.32,3940680209.1039934,0.449606,32541488.299683683,0.00469559,155697830.60704637
2015-10-22,273.877,4001193271.592473,0.565191,33579989.085412584,0.00472323,155804856.90139952
2015-10-23,276.519,4064783062.862658,0.538123,40412644.02936079,0.00467936,156748990.2739035
2015-10-24,281.706,4112313262.850378,0.567666,40512931.004871845,0.00466151,154399688.63620567
2015-10-25,283.117,4255002023.457896,0.613214,46064091.307345785,0.00455454,154889257.17032728
2015-10-26,285.288,4184996198.095617,0.738254,47793021.2417329,0.00467324,153446431.38493934
2015-10-27,293.742,4293461062.010218,0.863202,58090346.77837667,0.00465117,154694779.0488882
2015-10-28,304.859,4436434579.26186,1.01001,65258280.30846816,0.00467323,154488164.26730633
2015-10-29,313.812,4567816669.789626,1.19773,79818309.2566341,0.00464846,154936281.9586543
2015-10-30,328.017,4804192342.61703,1.05007,84121036.33418769,0.00483743,158930813.58269635
2015-10-31,314.036,4782176132.132984,0.918747,71990266.93535642,0.00467977,157431894.82122406
2015-11-01,325.732,4710677883.011848,1.05345,71814287.16369262,0.00490229,157700079.53319836
2015-11-02,360.628,4973156580.306451,0.989438,78558310.83067638,0.00516727,165863041.46660867
2015-11-03,401.146,5676572206.714646,1.00935,74381680.27989134,0.00537856,176417351.2916585
2015-11-04,408.892,6644367258.228554,0.907176,68991048.10332122,0.00495029,183688032.02555025
2015-11-05,387.637,5890261318.742124,0.908193,69337602.81658436,0.00450529,154745962.124555
2015-11-06,373.859,5544123550.146605,0.92469,67810867.66850486,0.00456322,149071683.4218744
2015-11-07,386.924,5685782721.721015,0.923569,67649644.44026206,0.00469627,154278692.96207666
2015-11-08,372.318,5654372974.509751,1.02298,70540484.24902675,0.00464549,154073709.87983474
2015-11-09,381.337,5584554545.016881,0.99788,77486007.09694973,0.0046068,154407979.19278136
2015-11-10,336.634,5421135264.705433,0.933983,73772006.56668735,0.00439745,150440803.75164947
2015-11-11,310.995,4729199269.051221,0.797487,63875911.49364991,0.00425951,141936119.37113678
2015-11-12,338.853,4910854921.148047,0.896364,63848002.6144385,0.00453586,147699007.58976153
2015-11-13,336.248,4954790794.329467,0.901685,66620920.02240885,0.00447928,148570729.15124416
2015-11-14,332.782,4947129607.10824,0.888602,66789525.643040776,0.0043294,145795972.74153626
2015-11-15,320.231,4879565201.586419,0.910915,67600476.17593262,0.00416717,140317255.95640534
2015-11-16,330.709,4778610936.146832,0.928855,68378595.84625179,0.00423403,138481409.8862086
2015-11-17,335.036,4957654927.253008,1.00533,70628398.48904133,0.00425123,141236131.27169347
2015-11-18,334.331,4946246084.764268,0.99077,71995649.68061809,0.00426081,141421527.09811336
2015-11-19,326.053,4918064227.464313,0.954651,72629363.97884901,0.00422443,140454981.61021626
2015-11-20,322.161,4761721884.58926,0.928767,69214673.10638313,0.00422283,139458861.67441168
2015-11-21,326.648,4831801193.96903,0.977114,71173096.09014806,0.00424547,140793697.4681312
2015-11-22,324.223,4825223548.619357,0.967151,72960696.75171636,0.00426563,141244013.31764168
2015-11-23,323.006,4804742507.6214905,0.946755,71601522.53231591,0.00428695,141917867.8787228
2015-11-24,320.041,4776178105.189723,0.901607,69956987.195248,0.00424261,140239080.36709937
2015-11-25,328.389,4801553834.463251,0.863464,65270596.552691065,0.0043178,142064583.5325337
2015-11-26,355.142,5100018354.547315,0.887869,64784370.01918651,0.00429207,142985779.7181739
2015-11-27,358.425,5286533809.504828,0.866476,65851722.837146826,0.00427552,141091719.05449715
2015-11-28,356.919,5279200630.650738,0.915583,67721651.75312768,0.00423896,140239811.63315463
2015-11-29,371.419,5375522724.181138,0.880089,66460244.64329346,0.00429185,143048782.33704135
2015-11-30,377.327,5616721532.516468,0.873777,65532150.68314351,0.00419845,142608655.66274598
2015-12-01,362.387,5479146309.500215,0.876285,65811011.91521735,0.00408988,138542197.64973432
2015-12-02,358.833,5294300773.799935,0.820467,63275497.87945727,0.00417256,137341602.51875493
2015-12-03,361.126,5399129236.18625,0.814174,60757676.41082928,0.00426279,142595919.8039228
2015-12-04,363.079,5379184968.99887,0.843958,61716240.6363878,0.00475389,151491108.85617286
2015-12-05,388.868,5604586876.759362,0.860484,63987397.80699396,0.00530078,169864808.91734388
2015-12-06,391.638,5898394790.848888,0.833494,64996137.05651266,0.00534917,177258664.3652154
2015-12-07,395.685,5902292312.718882,0.806997,61521500.569387086,0.00555423,182002739.8538085
2015-12-08,413.109,5904127624.119221,0.822,59375438.3595887,0.0067569,206487642.99182343
2015-12-09,417.255,6213110149.826636,0.791476,59761325.856160864,0.00851557,268479935.33664805
2015-12-10,415.613,6215762362.190008,0.84287,61721404.41477355,0.00845139,295431733.1457002
2015-12-11,450.679,6452226900.158191,0.913404,64249192.45193254,0.00844406,272547981.84698045
2015-12-12,435.858,6464516410.664187,0.970963,72917377.43007076,0.00853679,282456345.79409546
2015-12-13,434.394,6464824793.820459,0.952951,72574789.56977022,0.00877777,292156879.3055729
2015-12-14,444.357,6595165453.667736,0.993378,74869575.6887694,0.00763822,289191262.5563781
2015-12-15,464.106,6830070804.746484,1.01155,75803911.3536428,0.00668021,227616712.79778957
2015-12-16,454.782,6831053436.896705,0.990193,75333128.65834598,0.00675153,224241243.79370317
2015-12-17,456.317,6807764689.909915,0.940974,72051038.76444243,0.0066954,226148567.15687
2015-12-18,463.668,6880456208.476114,0.922422,69555827.52781609,0.00638792,217161068.482463
2015-12-19,462.134,6932344211.490659,0.910967,68670981.22414611,0.00628878,212225670.01725343
2015-12-20,442.363,6798115420.859772,0.902649,69200946.6664934,0.0062352,210545002.95242804
2015-12-21,438.556,6557705245.994994,0.901743,68434739.64279537,0.00626914,210709729.46378043
2015-12-22,437.281,6565050779.102006,0.867954,67310632.04587129,0.00619289,208743046.2988524
2015-12-23,442.111,6609550062.867161,0.860902,65488991.57690981,0.00602559,206364929.1972217
2015-12-24,455.101,6823069584.84864,0.862971,65597554.212978125,0.00597082,201072445.92893803
2015-12-25,455.525,6828339295.348009,0.870139,65872724.78858551,0.00648486,209331545.1078477
2015-12-26,417.869,6457040239.249869,0.858561,65619408.15503909,0.00617366,211336645.4857184
2015-12-27,422.223,6267467002.285872,0.855209,64312053.98775099,0.00635047,208927819.48847044
2015-12-28,422.344,6389073438.498269,0.848085,64768356.50689638,0.00634007,214193031.23841253
2015-12-29,432.343,6389694292.457786,0.872567,64205207.19748264,0.00625439,211708809.3494956
2015-12-30,426.371,6456294906.066222,0.909437,67700744.84319124,0.0061809,208641176.77412865
2015-12-31,430.538,6390442907.651986,0.933432,71859744.33664328,0.00604025,205123546.65061125
2016-01-01,433.973,6506378964.7408905,0.952636,71638426.90349197,0.00595583,200361278.4421827
2016-01-02,433.307,6521421966.752119,0.938792,72532921.85752048,0.00606558,202249598.6250239
2016-01-03,429.88,6461269015.564743,0.971632,73275951.7454204,0.00601798,202381455.0187136
2016-01-04,433.122,6494453328.07912,0.954406,72689808.60569952,0.0059572,202236916.53241143
2016-01-05,431.945,6504165662.079594,0.950168,72614362.46206562,0.00604408,200835081.52441728
2016-01-06,430.231,6471941951.478662,0.952551,72028264.46151745,0.00600461,201527429.1273985
2016-01-07,458.655,6756366666.199411,0.946178,72789289.25008754,0.0060398,202421624.9718212
2016-01-08,453.353,6841605139.153501,0.991825,73596582.54141352,0.00593352,200308494.88043523
2016-01-09,447.593,6778368429.156258,0.984214,74565361.43969977,0.00598168,200333830.40720856
2016-01-10,447.7,6702060964.182711,0.997744,74988712.27162264,0.00595663,199997880.970827
2016-01-11,448.455,6752461001.925303,1.0604,78722134.58835395,0.00589563,198727681.81139225
2016-01-12,439.521,6721631614.5765295,1.14873,87292373.57547134,0.00587672,197082544.5511912
2016-01-13,432.366,6455646270.835556,1.12304,84267618.1019905,0.00578686,193712809.72365975
2016-01-14,430.364,6499245749.496331,1.18905,86130601.50445776,0.00552936,187770072.77289703
2016-01-15,365.662,6097494971.283596,1.21428,94231534.19372664,0.00523508,181743601.11441624
2016-01-16,387.7,5622130448.758106,1.22853,95723497.4959024,0.00513512,172551077.6546353
2016-01-17,382.775,5809738646.218761,1.32883,94825174.06720611,0.00526519,172450673.79369786
2016-01-18,386.955,5786492854.183398,1.42068,109034380.3898028,0.00532546,178668109.81032014
2016-01-19,380.688,5801770305.25236,1.37321,104853467.10006674,0.00527158,177470804.70462227
2016-01-20,421.78,5939561671.1676855,1.53375,111404715.7472458,0.00537594,176918587.2708769
2016-01-21,408.952,6251483480.482056,1.5511,116604171.50328694,0.00531331,178826516.2148869
2016-01-22,382.146,5944695816.854779,1.49977,115786035.67586388,0.00511175,174192833.35343054
2016-01-23,387.756,5878654096.627251,1.99294,134153700.09847388,0.00511836,172528366.62376752
2016-01-24,403.198,6009286677.628716,2.14837,157938815.87605393,0.00522043,173861157.38962966
2016-01-25,391.872,5984895447.525743,2.49627,176676448.29742846,0.0051346,173051958.06730986
2016-01-26,392.41,5955436710.799264,2.22507,200485048.0769668,0.00538459,178297155.24937397
