Category: All categories

Week,Bitcoin: (Worldwide)
2019-08-25,37
2019-09-01,100
2019-09-08,58
2019-09-15,49
2019-09-22,35
2019-09-29,10
2019-10-06,9
2019-10-13,9
2019-10-20,11
2019-10-27,11
2019-11-03,10
2019-11-10,9
2019-11-17,9
2019-11-24,11
2019-12-01,9
2019-12-08,9
2019-12-15,9
2019-12-22,9
2019-12-29,9
2020-01-05,10
2020-01-12,12
2020-01-19,10
2020-01-26,11
2020-02-02,11
2020-02-09,13
2020-02-16,12
2020-02-23,11
2020-03-01,10
2020-03-08,19
2020-03-15,20
2020-03-22,15
2020-03-29,13
2020-04-05,13
2020-04-12,12
2020-04-19,12
2020-04-26,16
2020-05-03,18
2020-05-10,22
2020-05-17,15
2020-05-24,13
2020-05-31,13
2020-06-07,11
2020-06-14,11
2020-06-21,10
2020-06-28,10
2020-07-05,9
2020-07-12,11
2020-07-19,10
2020-07-26,17
2020-08-02,15
2020-08-09,14
2020-08-16,14
2020-08-23,11
2020-08-30,13
2020-09-06,11
2020-09-13,11
2020-09-20,10
2020-09-27,9
2020-10-04,9
2020-10-11,10
2020-10-18,13
2020-10-25,14
2020-11-01,16
2020-11-08,16
2020-11-15,22
2020-11-22,23
2020-11-29,21
2020-12-06,16
2020-12-13,27
2020-12-20,28
2020-12-27,41
2021-01-03,66
2021-01-10,65
2021-01-17,40
2021-01-24,39
2021-01-31,35
2021-02-07,59
2021-02-14,52
2021-02-21,65
2021-02-28,42
2021-03-07,42
2021-03-14,42
2021-03-21,36
2021-03-28,36
2021-04-04,34
2021-04-11,41
2021-04-18,52
2021-04-25,41
2021-05-02,36
2021-05-09,46
2021-05-16,77
2021-05-23,55
2021-05-30,41
2021-06-06,42
2021-06-13,33
2021-06-20,40
2021-06-27,27
2021-07-04,24
2021-07-11,23
2021-07-18,27
2021-07-25,30
2021-08-01,25
2021-08-08,28
2021-08-15,25
2021-08-22,27
2021-08-29,23
2021-09-05,30
2021-09-12,23
2021-09-19,28
2021-09-26,22
2021-10-03,28
2021-10-10,30
2021-10-17,37
2021-10-24,29
2021-10-31,25
2021-11-07,31
2021-11-14,30
2021-11-21,28
2021-11-28,29
2021-12-05,32
2021-12-12,30
2021-12-19,26
2021-12-26,26
2022-01-02,33
2022-01-09,32
2022-01-16,34
2022-01-23,43
2022-01-30,32
2022-02-06,32
2022-02-13,26
2022-02-20,34
2022-02-27,32
2022-03-06,27
2022-03-13,24
2022-03-20,24
2022-03-27,26
2022-04-03,21
2022-04-10,21
2022-04-17,19
2022-04-24,20
2022-05-01,22
2022-05-08,47
2022-05-15,31
2022-05-22,25
2022-05-29,22
2022-06-05,20
2022-06-12,53
2022-06-19,42
2022-06-26,30
2022-07-03,28
2022-07-10,25
2022-07-17,26
2022-07-24,23
2022-07-31,20
2022-08-07,20
2022-08-14,20
2022-08-21,18
2022-08-28,19
2022-09-04,18
2022-09-11,19
2022-09-18,19
2022-09-25,17
2022-10-02,16
2022-10-09,15
2022-10-16,14
2022-10-23,15
2022-10-30,15
2022-11-06,29
2022-11-13,27
2022-11-20,19
2022-11-27,17
2022-12-04,16
2022-12-11,17
2022-12-18,14
2022-12-25,15
2023-01-01,15
2023-01-08,17
2023-01-15,21
2023-01-22,18
2023-01-29,18
2023-02-05,14
2023-02-12,14
2023-02-19,14
2023-02-26,14
2023-03-05,16
2023-03-12,23
2023-03-19,24
2023-03-26,20
2023-04-02,17
2023-04-09,20
2023-04-16,18
2023-04-23,18
2023-04-30,17
2023-05-07,17
2023-05-14,15
2023-05-21,14
2023-05-28,14
2023-06-04,16
2023-06-11,15
2023-06-18,17
2023-06-25,17
2023-07-02,16
2023-07-09,17
2023-07-16,16
2023-07-23,15
2023-07-30,14
2023-08-06,14
2023-08-13,16
2023-08-20,15
2023-08-27,16
2023-09-03,13
2023-09-10,14
2023-09-17,13
2023-09-24,13
2023-10-01,13
2023-10-08,13
2023-10-15,16
2023-10-22,23
2023-10-29,18
2023-11-05,19
2023-11-12,19
2023-11-19,18
2023-11-26,18
2023-12-03,28
2023-12-10,21
2023-12-17,20
2023-12-24,20
2023-12-31,25
2024-01-07,35
2024-01-14,22
2024-01-21,20
2024-01-28,17
2024-02-04,18
2024-02-11,27
2024-02-18,20
2024-02-25,39
2024-03-03,47
2024-03-10,41
2024-03-17,36
2024-03-24,31
2024-03-31,26
2024-04-07,28
2024-04-14,37
2024-04-21,23
2024-04-28,23
2024-05-05,19
2024-05-12,19
2024-05-19,22
2024-05-26,18
2024-06-02,20
2024-06-09,18
2024-06-16,17
2024-06-23,17
2024-06-30,19
2024-07-07,19
2024-07-14,20
2024-07-21,21
2024-07-28,20
2024-08-04,29
2024-08-11,19
2024-08-18,18
2024-08-25,19
